GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Sp8	299499	672057399; 672057401; 300796169	NP_001178703; XP_008763224; XP_008763223	D3ZQL2
Sp9	366078	300798750	NP_001178831	D3ZZ24
Spa17	85244	16758238; 564363057; 1046901460	XP_006242874; NP_445934; XP_017451437	Q9Z1K2
Spaca1	500432	300795205	NP_001178911	-
Spaca3	287557	564373430; 157786664	XP_006247045; NP_001099290	F1M6E7
Spaca4	691120	157819963	NP_001103093	D3ZT54
Spaca5	314431	157820859	NP_001101528	M0RCC1
Spaca6	688452	1046844326; 1046844336; 209180413; 1046844332; 1046844334; 1046844330; 1046844328	XP_017445217; XP_017445218; XP_017445219; NP_001129192; XP_017445216; XP_017445220; XP_017445221	B6ETS2
Spaca7	689077	564319266; 564390046	XP_006253537; XP_006222359	-
Spaca9	296610	70912397; 564339913; 564339921; 1046879150; 564339915; 564339917	NP_859045; XP_006233826; XP_006233828; XP_017447133; XP_006233825; XP_006233824	Q7TSB9; Q4V8P4
Spag1	315033	672059024; 1046895942; 1046895939; 58865802; 1046895944	XP_017450348; XP_008763675; XP_017450350; NP_001012116; XP_017450349	Q5U2X2
Spag11a	246305	21489981	NP_659555	Q8VBV2
Spag11b	652998	83745144; 83745116	NP_001032941; NP_001032939	Q30KI9; Q30KJ0
Spag11bl	100362580	750321729; 564389802	XP_006253439; NP_001291353	D3ZML6
Spag16	501158	197927121	NP_001128200	B0BMX7
Spag17	690746	1046827264; 672043663	XP_008759585; XP_017449538	-
Spag4	83623	672047655; 13929122	XP_008760608; NP_113980	O55034
Spag5	252918	672069014; 1046848527; 1046848529; 1046820022; 112984402; 672024987	XP_006247013; NP_001037689; XP_017459582; XP_017452523; XP_006220796; XP_017452524	Q1ERY8
Spag6	360747	77993363	NP_001030132	Q3MHU1
Spag6l	291340	157822991	NP_001099595	G3V682
Spag7	303260	157822825	NP_001100486	D3ZCG4
Spag8	362508	291167792	NP_001167026	F7EV11; Q6AYI6
Spag9	360600	564373841; 564373857; 1046849905; 312836802; 1046849902; 564373851; 1046849907; 564373849; 564373843; 564373855; 1046849900; 1046849913; 1046849917; 564373835; 1046849898; 1046849911	XP_006247213; XP_017452876; XP_017452879; XP_006247205; XP_006247216; XP_017452878; XP_017452873; XP_017452874; XP_017452875; XP_006247209; XP_006247212; XP_017452880; XP_006247208; XP_017452877; XP_006247215; NP_001101760	E9PSJ4
Spam1	117037	16758856	NP_446419	Q62803
Sparc	24791	6981574; 672067232	XP_008765885; NP_036788	P16975; Q6GSZ4; O08953
Sparcl1	25434	6978789	NP_037078	P24054
Spart	295053	397529553; 564336492; 564336488; 564336490	XP_006232428; XP_006232427; NP_001099903; XP_006232429	-
Spast	362700	672055435; 672055433; 281485591; 672055431	XP_008762710; XP_008762708; XP_008762709; NP_001102172	B2RYN7
Spata1	362056	672044268; 62079087	XP_008759739; NP_001014199	Q6AY22
Spata13	305938	564386506; 300794393; 564386504; 564386508	XP_006252176; XP_006252175; NP_001178615; XP_006252177	D3ZWB4
Spata16	294932	1046827817; 672042025; 1046874660; 109466458; 564300157; 672042023	XP_017451009; XP_008759123; XP_001063250; XP_017446719; XP_006224155; XP_008759122	D4A260
Spata17	498305	672075286; 564316357; 672027489; 564382244	XP_006250511; XP_008762059; XP_008768111; XP_006221663	M0R8U7
Spata18	289586	564383469; 51491896	NP_955406; XP_006250953	D3ZEU0; Q764P0; Q6AYL6
Spata19	171403	19705495	NP_599211	Q920Q3
Spata2	114210	52138621; 564344538	NP_446127; XP_006235698	F1LNA7; Q91XS7; Q66HP6
Spata20	360604	564373959; 40786501	NP_955434; XP_006247262	Q6T393
Spata21	366491	52138735; 1046889163; 1046889160; 672054590	NP_001004447; XP_008762499; XP_017449036; XP_017449037	Q68A65
Spata22	360565	1046849860; 564372869; 300797185; 564372871	XP_006246824; XP_006246825; NP_001178753; XP_017452867	D3ZKY9
Spata24	291676	348041294; 564392992	NP_001020807; XP_006254607	Q4PJT6; D3ZAG4
Spata25	499943	71043742	NP_001020940	Q4QR74
Spata2L	498963	564396223; 157820265	XP_006255843; NP_001102603	D4A9H7
Spata3	363270	1046904604; 1046904601; 1046904610; 564369531; 1046904606; 157818363; 564369529	XP_006245474; XP_017452021; XP_017452022; XP_017452025; XP_006245473; XP_017452023; NP_001102275	D4A784
Spata31a5	353306	154800414	NP_001008360	Q5U2N7; B6VQA5; Q7TSL1
Spata31d1	498693	197384647	NP_001128078	D3ZM38
Spata31d1b	502113	293342588; 672081063	XP_008769699; XP_001066615	-
Spata31d3	306725	672081001; 1046866426; 1046825166	XP_017456170; XP_017443140; XP_008769690	A0A0G2JUN1
Spata31e1	100911971	564367757; 564311349	XP_003750719; XP_003754558	D3ZCW3
Spata32	287747	53850590	NP_001005531	Q66H17
Spata33	292078	157818729	NP_001099665	D3Z8L2
Spata4	306441	1046863568; 564389049; 50811819	XP_017455598; XP_006253157; NP_001002852	Q6DNA4; M0RCM3
Spata46	498274	157818539	NP_001102544	D3ZEQ6
Spata48	289778	564384872; 157822441; 1046858406; 564384878; 564384874	XP_006251540; XP_006251543; NP_001099488; XP_017454610; XP_006251541	D4A9H9; D3ZM93
Spata5	361935	157818795; 672042131; 672042129; 672042133	XP_008759155; XP_008759156; XP_008759154; NP_001102019	A0A0G2K0I1; D4A6T1
Spata5l1	691729	157820633	NP_001103117	D4A2B7
Spata6	171413	404312681	NP_599219	B0BMV7; G3V704
Spata6l	361747	564333335; 564333333; 62079063; 672040117; 564333329; 672040119	XP_006231302; NP_001014187; XP_006231301; XP_008758565; XP_006231299; XP_008758564; 	Q6AYJ3
Spata7	192225	672056428; 139948450; 564356867; 564356865; 564356869	XP_006240476; XP_006240477; XP_008762959; XP_006240475; NP_620217	Q6AZ59; F1LP56
Spata9	294594	348041255; 564334594	XP_006231767; NP_001099869	D3ZFQ7
Spatc1	315091	169234854	NP_001108498	B0BMZ4
Spatc1l	499418	66730329	NP_001019467	Q68FV7; M0R8Y9
Spats1	301255	31077120	NP_852041	Q811V6
Spats2	300221	564400243; 300798144; 672059937; 564400241	NP_001178543; XP_006257413; XP_006257412; XP_008763924	F1LX68
Spats2l	316426	564368528; 672065183; 564368530; 564368526; 672065188; 1046904268; 672065186; 564368532; 672065190; 62078937	XP_006245054; XP_008765331; XP_008765329; XP_006245055; NP_001014124; XP_008765332; XP_008765330; XP_006245052; XP_006245053; XP_017451949	Q5U2T3
Spc24	363028	672022573; 672061151	XP_003754424; XP_003750496	D4A1C5
Spc25	295661	57527007; 564341179	XP_006234350; NP_001009654	Q5M856
Spcs1	290555	196114947	NP_001124478	-
Spcs2	293142	300797871	NP_001178530	D3ZD11
Spcs3	680782	300797282	NP_001178002	D3ZF12
Spdef	689210	564397297; 672086027; 157817368	XP_006256291; NP_001103000; XP_008771049	B2RYE0
Spdl1	303037	564371313; 77627737	NP_001029310; XP_006246166	Q3KR99
Spdya	192209	20302006; 564355040; 1046891654	XP_017449518; NP_620210; XP_006239830	Q8R496; Q68G34
Spdye4	498146	672072072; 1046854694; 77627752	XP_008767217; NP_001029325; XP_017453926	Q3KR78
Specc1	303208	1046849370; 84781646; 564372303; 564372305	XP_008766043; NP_001034106; XP_006246564; XP_006246565	Q4KLM7
Specc1l	361828	564397587; 86515432; 	NP_001034544; XP_006256401; 	Q2KN99
Spef1	311429	564343045; 1046879686; 350529374	XP_006235095; NP_001034113; XP_017447243	G3V8V9; Q4KLL8
Spef2	64555	1046873639; 1046873641; 12018304; 1046873644	XP_017446581; NP_072142; XP_017446580; XP_017446583	Q9R095; Q4V8M1
Speg	363256	1046904578; 1046904583; 672065710; 672065712; 672065719; 564369118; 672065708; 1046904588; 157818307; 564369110; 564369116; 1046904586; 672065717; 6978511	XP_008765490; NP_037037; XP_006245314; NP_001102272; XP_017452015; XP_017452018; XP_008765489; XP_017452017; XP_006245317; XP_008765491; XP_008765493; XP_006245318; XP_008765492; XP_017452016	Q63638
Spem1	691981	157820813	NP_001103123	D3ZZ79
Spem2	497938	672068008; 62945306; 672068006	XP_008766076; NP_001017475; XP_008766075	Q68FV4
Spen	690911	407339771	NP_001258424	-
Spert	498572	672078786; 672078782; 564387047; 62945364; 672078784; 564387049	XP_008769117; XP_008769115; XP_008769116; XP_006252391; NP_001017506; XP_006252390	Q6AXV6
Spesp1	501010	117940047; 564364075	XP_006243272; NP_001071150	A0JPP4
Spetex-2A	364261	58000425	NP_001009976	Q5KT09
Spetex-2B	497084	58743345	NP_001011697	Q5KT08
Spetex-2C	364255	1046861957; 1046861959; 58743341	XP_017455323; NP_001011698; XP_017455322	Q5KT07
Spetex-2D	364260	58743351	NP_001011701	Q5KT06
Spetex-2E	361012	58743347; 1046904469	NP_001011702; XP_017451992	Q5KT05
Spetex-2F	316940	1046861447; 58000419	XP_017455217; NP_001009968	Q5KT04; F7FPR9
Spetex-2G	361099	58000417	NP_001009971	Q5KT03
Spetex-2H	361008	58000413; 1046815921	NP_001009969; XP_017444009	Q5KT02
Spg11	311372	300797242; 1046879630; 1046879627	XP_006234917; XP_017447229; NP_001178500	D3Z9Z3
Spg21	300791	55741780; 564364193	XP_006243313; NP_001006988	Q5XIC4; A0A0G2JW14
Spg7	353231	31077102; 1046870132; 672085253; 672085257	XP_017456796; NP_852053; XP_008770841; XP_008770843	Q7TT47; A0A2H2GPM9; A0A0G2K536
Sphk1	170897	399154137; 52345437; 399154133; 564375372; 399154139; 399154135; 399154142	XP_006247849; NP_001257740; NP_001257736; NP_001257738; NP_001257739; NP_596877; NP_001257737	Q91V26; Q642F6; A0A0G2K373; A0A0G2JWE5
Sphk2	308589	564328135; 58865706; 564328129; 672036479; 672036477	XP_008757606; NP_001012066; XP_008757605; XP_006229147; XP_006229150	Q6AYB2
Sphkap	316561	564369066; 1046904355; 564369072; 1046904352; 564369068; 564369074; 188595680; 672065637	NP_001120964; XP_006245296; XP_008765473; XP_006245295; XP_006245292; XP_017451973; XP_006245293; XP_017451972	F1LNS0
Spi1	366126	54312108; 564341813	XP_006234594; NP_001005892	Q6BDS1; Q5BK69
Spib	499146	564328192; 672036558; 564328186; 564328188; 564328190; 672036563; 66730349; 564328184	NP_001019457; XP_006229175; XP_006229177; XP_008757626; XP_006229173; XP_006229174; XP_006229176; XP_008757627	A0A140TAD6; Q5EBA3
Spic	314711	564358899; 564358897; 564358901; 157821219; 564358895	XP_006241288; XP_006241285; XP_006241286; NP_001101550; XP_006241287	D4A5A4
Spice1	288111	1046852522; 564376808; 672071116; 672071118; 56605660; 564376804	XP_006248394; XP_008766941; XP_006248396; XP_017453413; XP_008766943; NP_001008286	Q5RKG1; A0A0G2JX08
Spidr	498119	672071778; 155369658; 1046852984; 1046852986; 1046852981	XP_008767120; NP_001094458; XP_017453539; XP_017453540; XP_017453541	A2VD15; E9PSZ4
Spin2a	317395	319996608	NP_001121129	B0BN24
Spin4	299038	672087763; 672032375	XP_008771516; XP_008756666	-
Spindoc	361719	564332398; 197381662; 564332396; 	XP_006230926; XP_006230925; NP_001128047	D4AED1
Spink1	266602	23097352	NP_690919	P09656
Spink10	100361300	672083722; 672030765	XP_002728606; XP_003753101	D3ZRP0
Spink13	689570	672083565; 157817634	NP_001103009; XP_008770397	D3ZVP0
Spink14	408231	57114314	NP_001008875	Q6IE46
Spink2	408234	1046859250; 57114328	NP_001008870; XP_017454815	Q6IE49
Spink3	24833	6981578	NP_036806	P13072; P09655
Spink4	408233	564350867; 57114318	NP_001008871; XP_006238157	Q6IE48
Spink5	361319	1046868384; 282158063	NP_001164077; XP_017456485	D3ZET2
Spink6	408235	392355633; 57114324	NP_001008874; XP_003752092	Q6IE47; G3V7Q1
Spink7	408237	254675255; 1046868448	XP_017456498; NP_001002816	F1LRJ7
Spink8	301016	157821597; 672062949; 1046899962	NP_001100330; XP_008764734; XP_017451084	D3ZHW6
Spink9	681344	293349998; 109506551	XP_001061351; XP_002727312	-
Spint1	311331	564342380; 564342378; 67514572	NP_001004265; XP_006234825; XP_006234826	Q4V8Q2
Spint2	292770	127138669; 40018550	NP_954518; NP_001076018	Q6P796; G3V8S0
Spint3	685136	392339673; 564344505	XP_006235690; XP_002726340	-
Spint5p	408232	564344445; 57114322	XP_006235671; NP_001008881	Q6IE45
Spire1	307348	564393823; 564393819; 564393825; 1046868175; 157822951; 564393827	XP_006254925; XP_006254922; XP_006254926; XP_006254924; XP_017456435; NP_001100851	D3ZEX7
Spire2	307925	189011679	NP_001121010	B2RYF2
Spn	24796	564330889; 672038366; 402747140	NP_001258015; XP_008758080; XP_006230275	R9PXZ7
Spns1	361648	1046843297; 1046843295; 226958308	NP_001034297; XP_017444889; XP_017444888	Q2YDU8
Spns2	100270678	672067622; 222418594	NP_001138463; XP_006246625	D3ZPS4
Spns3	497946	157817482; 672068020; 564372918; 564372924	XP_006246848; NP_001102505; XP_006246851; XP_008766079	D3ZCZ0
Spo11	366261	157818345; 564344772; 672048191; 672048193; 564344779	XP_006235763; NP_001102434; XP_006235760; XP_008760747; XP_008760749	D3Z8A8
Spocd1	313060	1046891291; 1046832183	XP_017449417; XP_017458413	-
Spock1	306759	404351653	NP_001258226	Q562B0
Spock2	361840	564397863; 157823691	XP_006256481; NP_001102003	A0A0G2K946
Spock3	306404	1046863549; 1046863555; 157822287; 1046863552; 1046863557; 672079696	XP_017455592; XP_017455593; XP_017455594; NP_001100780; XP_008769339; XP_017455591	D3ZUT1
Spon1	64456	25453372; 1046844143	XP_017445153; NP_742064	P35446
Spon2	171569	1046858097; 19924069; 1046858099	XP_017454552; NP_612542; XP_017454551	Q9WV75
Spop	287643	1046848879; 564373923; 189303532; 564373919; 672068457	XP_006247242; XP_008766190; NP_001093966; XP_006247244; XP_017452619	B2RYD9
Spopl	296532	1046879083; 1046879085; 1046879078; 197313767; 1046879080	XP_017447116; XP_017447115; XP_017447117; NP_001127919; XP_017447114	B2RZC7; A0A0G2KB38
Spout1	499770	564340073; 564340071; 114052745; 564340075	XP_006233903; NP_001040575; XP_006233902; XP_006233904	A0A0G2QC59; Q4KM43; E9PTL4
Spp1	25353	145046230; 672075649	NP_037013; XP_008768218	P08721
Spp2	94168	56961612	NP_446029	Q5M874; Q62740
Sppl2a	311401	157820967; 564342757	NP_001101240; XP_006234982	A0A0G2JYA3; D3ZNG3
Sppl2b	362828	1046896177; 672057815; 672057817; 62079127; 564358192; 1046896183; 564358194; 1046896174	XP_008763334; XP_017450397; NP_001014222; XP_008763333; XP_006241009; XP_008763332; XP_006241010; XP_008763338	Q5PQL3
Sppl2c	287753	157786708; 1046848934	XP_017452632; NP_001099317	M0R9B3; B1H292
Sppl3	360822	392352574; 1046821880	XP_006221487; XP_003751248	D3ZY49
Spr	29270	158711683	NP_062054	B2RYK3; P18297
Spred1	296072	672046513; 114052989	NP_001040554; XP_008760311	Q3C2P9
Spred2	305539	114052985	NP_001040559	Q3C2P8
Spred3	308478	1046842135; 672035716; 1046842137; 672035712; 290563464	XP_008757366; XP_017444614; XP_008757367; XP_008757368; NP_001166815	B2GV40; A0A096MJ78
Sprn	541462	564331778; 73661200	XP_006230635; NP_001027015	Q5BIV7
Sprr1a	499660	402747125	NP_068636	G3V755
Sprr1b	685912	109465129; 1046827675	XP_002726055; XP_001065728	A0A0G2K2L3
Sprr2d	102550699	672043276; 672016032	XP_008759480; XP_008773421	D3ZAR3
Sprr2f	102550416	564337567; 564300607	XP_006224250; XP_006232876	-
Sprr3	310575	157818657; 672042924	NP_001101156; XP_008759364	D3ZHQ6
Sprtn	292101	564396309; 157818777; 564396307; 564396311	NP_001099669; XP_006255871; XP_006255870; XP_006255872	D3ZVU1; A0A0G2KAV7; D4AB73
Spry1	294981	157823415	NP_001099897	D3Z915
Spry2	306141	564387418; 58865660	XP_006252500; NP_001012046	Q5HZA2
Spry3	498159	672072407; 672072409; 672072413; 157818209; 1046854704; 1046854706; 1046854708	XP_017453931; XP_017453929; XP_017453930; XP_008767288; XP_008767289; XP_008767291; NP_001102533	D3ZZ96; B5DF90
Spry4	291610	157817803; 1046867965	XP_017456383; NP_001099620	D3ZJA3
Spryd3	315327	300796496	NP_001178719	F1M7P8
Spryd4	288772	564357751; 83642822	XP_006240808; NP_001032854	Q4FZT8
Spryd7	290303	57526900; 1046860969	XP_017455114; NP_001009635	Q5M7T2
Spsb1	313722	564354243; 672054518; 672054520; 1046888637; 157819099; 672054515	XP_006239524; XP_008762481; XP_017448919; XP_008762479; NP_001101464; XP_008762480	B0BMX8
Spsb2	297592	1046884267; 1046884269; 57527098	XP_017448077; XP_017448078; NP_001009660	Q5M877
Spsb3	302981	1046849223; 1046849215; 1046849217; 1046849219; 1046849213; 157819423; 1046849209; 1046849207; 1046849221; 1046849211	XP_017452713; XP_017452710; XP_017452715; XP_017452717; XP_017452714; XP_017452718; XP_017452711; XP_017452716; XP_017452712; NP_001100458	A0A0G2JZI4; D3ZVU8
Spsb4	300950	157820877	NP_001100319	B5DF38
Spt1	29229	1154067640	NP_062044	Q63557
Spta1	289257	158533972	NP_001011908	D4A678; F7FC39; Q6XDA1
Sptan1	64159	672045016; 672045022; 672045026; 672045018; 672045020; 31543764; 672045024	NP_741984; XP_008759898; XP_008759895; XP_008759896; XP_008759900; XP_008759899; XP_008759897	P70477; Q6IRK8; P16086; O88663; A0A0G2K1Y8
Sptb	314251	1046892226; 47058982; 564356403; 1046892224	XP_017449632; XP_006240306; NP_997687; XP_017449631	Q6XDA0; A0A140UHX6; F1MAL3
Sptbn1	305614	672077317; 672077319; 672077315; 61557085; 672077311; 672077313; 1046858998	XP_008768682; XP_008768683; XP_017454748; NP_001013148; XP_008768680; XP_008768684; XP_008768685	Q6XD99
Sptbn2	29211	924442952; 672039221; 1046840888; 672039223; 672039225	NP_062040; XP_008758314; XP_017444345; XP_008758315; XP_008758316	F1MA36
Sptbn4	308458	1046842126; 672035701; 672035703; 1046842122; 683523970; 1046842119; 1046842124	NP_001094315; XP_017444612; XP_008757363; XP_008757362; XP_017444610; XP_017444609; XP_017444611	A0A0G2K677
Sptbn5	296090	1046830110; 1046830112; 1046830100; 1046882106; 1046830104; 1046830106; 1046830108; 1046830102; 1046830114; 1046830116	XP_017458068; XP_017458072; XP_017458076; XP_017458069; XP_017458071; XP_017458073; XP_017458070; XP_017458074; XP_017458075; XP_017447687	-
Sptlc1	361213	157822249; 1046865992	XP_017456085; NP_001101876	D4A2H2
Sptlc2	366697	1046892697; 79749411	XP_008763045; NP_001032174	Q3B7D2; F1LSV4
Sptlc3	296188	157817891	NP_001099987	D4A9V0
Sptssa	500651	114145575	NP_001041208	Q4G019
Sptssb	100362555	404351658; 404351662	NP_001258228; NP_001258230	D3ZG45
Spx	691138	228480223	NP_001077402	Q6TXE0; M0R8L2
Spz1	499510	66730331	NP_001019468	Q6AXY9
Sqle	29230	8394354	NP_058832	P52020; Q4V8L3
Sqor	691966	209862751; 564342684	XP_006234949; NP_001041378	B0BMT9; F1M5R5
Sqstm1	113894	33413433; 31581536; 564371634; 564371636; 564371638	XP_006246276; NP_853528; XP_006246275; XP_006246277; NP_787037	O08623; Q8CH59
Sra1	252891	78214335	NP_899158	Q6QGW5; G3V8C6; Q811X7
Srarp	298602	672020241; 672054729	XP_006225715; XP_008762526	-
Srbd1	301665	564306696; 293347888; 564354860; 293359767	XP_001059624; XP_006225738; XP_006239770; XP_237474	D4A9B0
Src	83805	1046881156; 14010835; 1046881161; 1046881167; 672047657; 672047659; 1046881163; 1046881154; 1046881172; 1046881159; 1046881165	XP_017447558; XP_008760609; XP_017447554; XP_017447556; NP_114183; XP_017447557; XP_008760610; XP_017447555; XP_017447560; XP_017447559; XP_017447561	G3V776; Q45QJ2; Q9JJ10; Q9WUD9
Srcap	361652	1046846660; 1046846662; 1046819217; 1046819219	XP_017446772; XP_017445722; XP_017445721; XP_017446768	-
Srcin1	56029	9507127	NP_062251	Q9QXY3; Q9QXY2
Srd5a1	24950	77404421	NP_058766	A0JPJ6; P24008
Srd5a2	64677	12083683	NP_073202	P31214
Srd5a3	305291	62078709; 564383481	XP_006250959; NP_001014012	Q5RJM1; D4A5U7; D3ZUS5; A0A0G2JSH3
Srebf1	78968	453040314; 453040303; 1046850512	XP_017453030; NP_001263636; NP_001263637	P56720; Q99PI6; Q99PI7
Srebf2	300095	76096332; 564361182	NP_001028866; XP_006242141	Q3T1I5
Srek1	56763	564335120; 564335124; 9910564	NP_064477; XP_006231954; XP_006231956	G3V9I9; Q9JKL7
Srek1ip1	361888	56605822	NP_001008374	Q5RJP9
Srf	501099	564367417; 564367415; 157818017	XP_006244620; NP_001102772; XP_006244619	D3ZHH8
Srfbp1	291469	53850600; 672083334	NP_001005536; XP_008770331	Q66H19
Srgap1	314903	300796374; 1046895909	NP_001178713; XP_008763625	F1M287
Srgap2	360840	672073801; 564380535; 564380531; 201023377; 564380529; 672073799	XP_006249847; NP_001128430; XP_008767702; XP_006249844; XP_008767701; XP_006249845	A0A0G2JZ92; D4A208; B5DEJ1
Srgap3	500287	564348239; 300795060; 672050697	XP_006237110; NP_001178904; XP_008761418	F1M5M9
Srgn	56782	9910488; 564398008; 564398010	XP_006256545; XP_006256546; NP_064459	P04917
Sri	683667	189491879; 564345570	NP_001121662; XP_006236069	B0BNJ1
Srl	302948	672066676; 392351018; 392331626	XP_008765732; XP_003752342; XP_003750819	F1LWG8
Srm	84596	16758208	NP_445916	Q99MI5
Srms	296472	58865492	NP_001011961	Q5FVG7
Srp14	296076	157817464	NP_001099967	B2RYW7
Srp19	291685	157817949	NP_001099627	B2RZ66
Srp54a	116650	564355963; 62899020	XP_006240159; NP_446323	Q6AYB5
Srp68	363707	157819325; 672069843	XP_008766603; NP_001102310	B2RYI2; D3ZVL3
Srp72	498351	282158053	NP_001164072	-
Srp9	690345	186910265	NP_001119567	D4A511
Srpk1	361811	71043650; 1046876912	XP_017457167; NP_001020897	Q4KLN3
Srpk2	296753	564345296; 1046883955; 157819063; 1046883959; 1046883952; 672048589	XP_008760857; XP_017448002; XP_017448003; NP_001100045; XP_006235965; XP_017448004	A0A0G2JX62; B1WBT4
Srpk3	293854	564329372; 564329376; 564329370; 672088925; 564329374; 672088927; 34576547	XP_006229622; XP_008771839; XP_006229620; NP_908934; XP_008771840; XP_006229621; XP_006229623	Q6V9W0; G3V8I2; A0A0G2KAH6
Srpra	315548	77627979	NP_001029322	Q3KRC3
Srprb	300965	61676217	NP_001013270	Q4FZX7
Srpx	64316	564398585; 11993952	NP_071969; XP_006256745	Q5PPK5; Q63769
Srpx2	317181	1046907418; 1046907421; 157817983	XP_017457536; XP_017457535; NP_001101713	B5DF94
Srr	303306	672068567; 1046849449; 38454254	XP_008766237; NP_942052; XP_017452791	Q76EQ0
Srrd	288717	798974764	NP_001292083	-
Srrm1	313620	564353572; 564353574; 564353576; 1046888545; 194440691; 1046888548; 564353570; 672054464; 672054466	XP_008762465; XP_017448896; XP_006239245; XP_006239247; XP_017448895; XP_008762464; XP_006239246; XP_006239244; NP_001101456	B2RYB3
Srrm2	302969	460838694	NP_001264083	B2GUY6
Srrm3	685890	484355509	NP_001264323	D3ZQH1
Srrm4	498189	1077187606	NP_001333235; 	F1M2T7
Srrm5	100363433	952952034	NP_001304035	-
Srrt	686980	1046855490; 564315575	XP_006221478; XP_017454083	-
Srsf1	689890	672068916; 157818019	NP_001103022; XP_008766336	D4A9L2
Srsf10	362630	564353650; 564353654; 564353648; 564353652; 71043780	XP_006239283; XP_006239284; XP_006239285; XP_006239282; NP_001020909	D3ZB38; Q4KM38
Srsf11	502603	564339420; 672044572; 564339416; 78214337; 672044569; 564339418; 564339414; 672044565	XP_006233604; XP_006233605; XP_008759789; XP_006233603; XP_008759790; XP_006233602; XP_008759791; NP_001030332	A0A0G2QC38; Q4KLK1; D3ZBT0
Srsf12	297962	208973274	NP_001129183	-
Srsf2	494445	564375428; 672069845; 57528425	XP_006247875; NP_001009720; XP_008766604	Q6PDU1
Srsf3	361814	114145746	NP_001041372	Q0ZFS8
Srsf4	362612	157822515	NP_001102155	G3V798; B1H240
Srsf5	29667	306774128; 306774130; 158631248	NP_001182434; NP_001182435; NP_062130	Q09167; O35335
Srsf6	362264	306922366	NP_001014207	G3V6S8; Q5PQM1
Srsf7	362687	564354686; 564354680; 564354684; 564354682; 564354688; 306922410	XP_006239706; NP_001034124; XP_006239704; XP_006239705; XP_006239707; XP_006239708	D4A720
Srsf8	317533	672087591; 672087589; 672032304	XP_006227403; XP_006257042; XP_008771469	-
Srsf9	288701	57164147	NP_001009255	Q5PPI1
Srxn1	296271	402747055	NP_001041323	-
Sry	25221	57900650	NP_036904	Q9ERV8
Ss18	361295	199561150; 564392698; 564392700	XP_006254499; XP_006254500; NP_001094370	D4ABC5
Ss18l1	192352	20302125	NP_620273	Q91XJ0
Ss18l2	687029	392350423; 109485538	XP_001078569; XP_003750654	M0R551
Ssb	81783	564341262; 564341266; 564341264; 52138613	NP_112381; XP_006234385; XP_006234384; XP_006234383	Q66HM7
Ssbp1	54304	672049282; 672049288; 672049296; 672049286; 672049292; 672049284; 672049290; 1017029450	XP_008761048; XP_008761046; NP_899157; XP_008761044; XP_008761047; XP_008761049; XP_008761045; XP_008761051	A0A0G2K747
Ssbp2	361877	1046874130; 1046874133; 1046827387; 1046827383; 1046827395; 1046874158; 1046827377; 1046827393; 1046874153; 1046827389; 1046827391; 1046874149; 1046827385; 1046874135; 1046874144; 1046874151; 1046827379; 1046827381; 1046874155	XP_008773253; XP_017449927; XP_008758868; XP_008758871; XP_008758874; XP_008773255; XP_008773259; XP_008758869; XP_008758875; XP_008773257; XP_008773252; XP_008773256; XP_008773258; XP_008758873; XP_008773254; XP_017446659; XP_017449926; XP_008758870; XP_017446660	-
Ssbp3	84354	564352042; 16758086; 564352048; 564352040; 564352044; 564352038; 564352034; 564352036; 564352046; 1046889681	XP_006238595; XP_017449152; NP_445810; XP_006238596; XP_006238600; XP_006238594; XP_006238597; XP_006238599; XP_006238598; XP_006238601	Q9R050
Ssbp4	364534	672079747; 564388597; 62079199; 672079749; 672079751; 672079753	XP_008769363; NP_001014258; XP_006252974; XP_008769362; XP_008769361; XP_008769364	Q6AY89
Ssc4d	304401	1046821669; 1046855098; 1046821677; 1046855094; 1046821671; 1046855092; 1046855096; 1046821673; 1046855090; 1046821675	XP_017453990; XP_017453991; XP_017453992; XP_017453994; XP_017459960; XP_017459959; XP_017459962; XP_017459963; XP_017453993; XP_017459961	D3ZQH3
Ssc5d	308341	197386139; 1046842066; 564326206	NP_001128017; XP_006228319; XP_017444598	D3ZPK4
Ssh1	304580	564315468; 564379836; 672026863; 564379834	XP_006249574; XP_006221444; XP_006249573; XP_008758925	F1LWM1
Ssh2	303342	157820075; 564373228	XP_006246967; NP_001100494	F1M4Q5
Ssh3	365396	58866002	NP_001012217	Q5XIS1
Ssmem1	500068	157823083; 564346140	XP_006236290; NP_001102698	D3ZDF5
Ssna1	311802	746816104; 	NP_001290546; 	F7FL58; B2RZ20
Sspn	500364	1046885413; 157823857	NP_001102725; XP_017448332	D4ABT9
Sspo	474348	1046885021; 55741770	NP_001007017; XP_017448231	Q700K0
Ssr1	361233	77993298; 564391098	XP_006253897; NP_001008891	A0A0G2K075; Q4V7D1
Ssr2	295235	157823735	NP_001099912	B5DEQ0
Ssr3	81784	40538862	NP_112382	Q6P6U5; Q08013
Ssr4	29435	8394364; 564329396	NP_058895; XP_006229633	Q07984
Ssrp1	81785	672046140; 1046881112; 1046881106; 1046881115; 1046881108; 54020668; 1046881110	XP_006234539; NP_112383; XP_008760216; XP_017447550; XP_008760215; XP_017447549; XP_017447548	Q5XIT2; Q04931
Sst	24797	6981582	NP_036791	P01167; P60042
Sstr1	25033	564356017; 6981584	XP_006240177; NP_036851	P28646
